,div yield,Trailing annual div yield,exDiv,payout ratio,5 year yield average,52W change,DGR,Years of grow,DGR3y,DGR5y,DGR10y
SJM,2.6800001,2.6826825,2023-02-09,74.86,2.97,38.08558154713184,19.55621301951923,13,5.139718346836612,5.618014415616304,7.251963760562527
TGT,2.4400001000000002,2.0881670000000003,2023-02-14,51.64,2.29,85.0176470917556,12.009274422628783,39,15.434608844773221,10.551423646702602,11.89712842142714
JNJ,2.74,2.6881720000000002,2023-02-17,66.120005,2.6,15.797472312085986,13.630227132051656,60,5.871655279846588,6.034735050693337,6.371459286862892
ATO,2.4899999999999998,2.2751987000000002,2022-11-25,48.57,2.27,25.79104042678192,4.039621606697849,33,8.943997355878091,8.663951602088215,7.2337747971405495
CAH,2.6199998,2.5865234,2022-12-30,,3.59,66.87609591033643,53.95410772359296,12,1.0315326815838983,1.5252529567005808,7.671527902863121
CINF,2.6199998,2.3394853,2023-03-16,,2.51,59.74091980839098,9.314957036050556,27,7.222222222222219,6.665408805031444,5.483147787358309
CFR,2.69,2.5391850000000002,2023-02-27,36.78,2.78,44.365682181617785,11.864750174125103,28,5.049230218403156,7.668297820964374,5.555765897958289
PEP,2.6800001,2.6181089,2022-12-01,63.660000000000004,2.81,24.307006909334554,21.164112865541195,24,6.059160707979459,7.430131617618741,7.872861824546744
PG,2.5700000000000003,2.5392136,2023-01-19,63.33,2.64,33.34617492322537,8.742404246832486,20,5.4495578233264865,5.182252092423916,4.454012019214915
CL,2.55,2.522718,2023-01-20,87.32,2.38,23.540687032412784,8.504934620212481,50,2.423865876019414,2.524565421475807,3.5340041435407636
WTRG,2.39,2.2716871999999997,2023-02-09,61.67,2.22,36.18181897448254,6.031260974521388,35,7.003581041121909,6.984214567116448,7.553708139412059
EBTC,2.5899999,2.2828508000000003,2023-02-07,23.3,2.17,41.913630805896844,2.4171430487365018,16,8.63336550836551,8.730466303742167,6.455843266394242
AFL,2.29,2.2206094,2023-02-14,19.569999,2.36,44.41565163226274,14.610297121837466,38,14.257655924322592,13.231870300835823,9.297920515581946
HRL,2.4300002000000003,2.2937803,2023-01-13,57.14,1.99,24.042386853016303,12.315126975640915,22,5.68063144703243,7.939280590610539,12.617307638104458
ITW,2.19,1.9837152,2022-12-29,56.740004,2.31,48.91165273238157,14.960403306617133,35,6.918001723801718,12.304332895678058,13.222810912265022
MGEE,2.1999999999999997,2.0997727,2023-02-28,55.089999999999996,2.04,39.889734400071255,2.3517101714221726,35,4.828367582328992,4.755607764177863,4.377811599793753
SYY,2.54,2.5152342,2023-01-05,70.04,2.35,28.152983203299044,14.557541863671512,36,2.88446054750402,6.474266072092156,5.753469250735075
SRCE,2.55,2.5471319,2023-02-03,26.029999999999998,2.44,43.24624593171646,8.255040362345907,25,4.266393003319791,6.021957014113091,6.78013455099129
PII,2.17,2.1561526,2022-11-30,25.5,2.47,34.84650764592235,12.042728846829373,26,1.613183025134367,1.9908983208277498,5.739851643023905
MCD,2.2800000000000002,2.1503742999999997,2022-11-30,67.95,2.29,31.553489873141572,23.51231793598687,14,6.176700560421499,8.163481530068832,7.057050624336642
RTX,2.2399999999999998,2.2277229,2022-11-17,61.53999999999999,2.53,36.38203078225818,7.992337055139656,30,5.323537270795309,4.780429046680514,5.418244180916121
EMR,2.27,2.2518583,2022-11-09,38.080000000000005,2.65,38.43351463227185,7.848588168841743,50,1.582556823414949,1.4143957105815375,2.541481445179825
APD,2.3699999,0.0,2023-03-31,63.1,2.21,55.03025800913911,10.993150269958019,39,11.819179962257683,11.340311805105804,10.652229680587421
CAT,1.96,1.923234,2023-01-19,36.55,2.42,66.76221970565712,15.487035841803388,31,5.24117475845994,7.992427141822641,7.762885883345075
GD,2.18,2.1779524,2023-01-19,31.009999999999998,2.29,25.247569569048263,33.99648817937864,29,5.311428475152069,6.824463497817272,8.483242064630208
