,IBM,IBM,IBM,IBM,IBM,IBM,GE,GE,GE,GE,GE,GE,KO,KO,KO,KO,KO,KO,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,PG,PG,PG,PG,PG,PG,XOM,XOM,XOM,XOM,XOM,XOM,BA,BA,BA,BA,BA,BA,F,F,F,F,F,F,GM,GM,GM,GM,GM,GM,T,T,T,T,T,T,VZ,VZ,VZ,VZ,VZ,VZ,PFE,PFE,PFE,PFE,PFE,PFE,MRK,MRK,MRK,MRK,MRK,MRK,DD,DD,DD,DD,DD,DD,PEP,PEP,PEP,PEP,PEP,PEP,CVX,CVX,CVX,CVX,CVX,CVX,WMT,WMT,WMT,WMT,WMT,WMT,CL,CL,CL,CL,CL,CL,MCD,MCD,MCD,MCD,MCD,MCD,MMM,MMM,MMM,MMM,MMM,MMM,CAT,CAT,CAT,CAT,CAT,CAT,JCI,JCI,JCI,JCI,JCI,JCI,ABT,ABT,ABT,ABT,ABT,ABT,KMB,KMB,KMB,KMB,KMB,KMB,BMY,BMY,BMY,BMY,BMY,BMY,AXP,AXP,AXP,AXP,AXP,AXP,INTC,INTC,INTC,INTC,INTC,INTC,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CVX,CVX,CVX,CVX,CVX,CVX
,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return
0,50,180,3,2.474111955357486,33,20.31745397277898,50,180,3,2.270323325094455,38,24.032826714987593,50,180,3,2.423308590929234,48,223.11907830927356,50,180,3,2.269774093518965,46,707.3596335026474,50,180,3,1.6047195921116137,37,106.71559794588605,50,180,3,1.5710906442187327,46,72.4910900758042,50,180,3,1.5295131122050838,33,262.4223381644939,50,180,3,1.7369726813247364,16,5.533573115331974,50,180,3,1.0675973832002268,4,0.9384323010591852,50,180,3,1.4313957556024786,13,3.7564006665395517,50,180,3,1.7825710859268937,17,4.335092847102855,50,180,3,1.6737891831010558,26,41.87792710060808,50,180,3,3.211069073995785,46,273.08321032973754,50,180,3,1.5870103853596786,22,10.327184619582786,50,180,3,1.615871379931758,48,109.8665787919272,50,180,3,1.603025634928835,36,50.61692075392554,50,180,3,2.665438354497567,41,2516.7177771598595,50,180,3,1.5364682420526334,35,36.79000091552792,50,180,3,2.6561717121255137,40,1030.6180465998154,50,180,3,1.7481274285063704,43,25.325714799694328,50,180,3,2.635958835347155,29,174.4394375809616,50,180,3,2.08142406327043,22,8.169455975962796,50,180,3,1.6193281882548187,43,201.8919132851255,50,180,3,1.5126469267766425,26,50.91538229962179,50,180,3,1.297282279294888,40,32.25772034852702,50,180,3,1.8304474289816224,33,42.37147286693613,50,180,3,1.4167412516891065,15,115.67609976753077,50,180,3,2.263310097008116,22,737.5383409749887,50,180,3,1.603025634928835,36,50.58354810768207
1,50,180,4,2.5640828804048166,33,20.31745397277898,50,180,4,2.9005253342471473,38,24.032826714987593,50,180,4,2.513489200011028,48,223.11907830927356,50,180,4,1.8381407662375957,46,707.3596335026474,50,180,4,1.7437356314787003,37,106.71559794588605,50,180,4,1.8488952189676924,46,72.4910900758042,50,180,4,1.4484560770152202,33,262.4223381644939,50,180,4,1.7344453143426022,16,5.533573115331974,50,180,4,1.0533265053737937,4,0.9384323010591852,50,180,4,1.3986453111669948,13,3.7564006665395517,50,180,4,1.9602968904029077,17,4.335092847102855,50,180,4,2.042867109599855,26,41.87792710060808,50,180,4,3.0165809217989334,46,273.08321032973754,50,180,4,1.56468952586574,22,10.327184619582786,50,180,4,1.2712804418214299,48,109.8665787919272,50,180,4,1.483120056854853,36,50.61692075392554,50,180,4,2.9704370545457643,41,2516.7177771598595,50,180,4,1.9559068361266119,35,36.79000091552792,50,180,4,3.227177360336309,40,1030.6180465998154,50,180,4,1.4601666711363273,43,25.325714799694328,50,180,4,2.9488492697291244,29,174.4394375809616,50,180,4,2.2138373627660384,22,8.169455975962796,50,180,4,2.298517996843331,43,201.8919132851255,50,180,4,1.7169239135218413,26,50.91538229962179,50,180,4,1.1064937997669702,40,32.25772034852702,50,180,4,2.149397766214326,33,42.37147286693613,50,180,4,1.2825739219579675,15,115.67609976753077,50,180,4,2.8086314819326885,22,737.5383409749887,50,180,4,1.483120056854853,36,50.58354810768207
2,50,180,5,2.5578532264713574,33,20.31745397277898,50,180,5,2.517021890389444,38,24.032826714987593,50,180,5,2.989019815791014,48,223.11907830927356,50,180,5,1.7462837888776321,46,707.3596335026474,50,180,5,1.3356213800168084,37,106.71559794588605,50,180,5,1.2787177253532362,46,72.4910900758042,50,180,5,1.576461606031801,33,262.4223381644939,50,180,5,2.4074860828629765,16,5.533573115331974,50,180,5,1.1045218773471064,4,0.9384323010591852,50,180,5,1.582932406488921,13,3.7564006665395517,50,180,5,1.837944568090199,17,4.335092847102855,50,180,5,2.323223527657586,26,41.87792710060808,50,180,5,2.767886389768453,46,273.08321032973754,50,180,5,1.5529034211509645,22,10.327184619582786,50,180,5,2.0276874516373424,48,109.8665787919272,50,180,5,1.5238868576401192,36,50.61692075392554,50,180,5,4.083747235880266,41,2516.7177771598595,50,180,5,2.571759217002827,35,36.79000091552792,50,180,5,2.603348254223782,40,1030.6180465998154,50,180,5,1.2067553593587776,43,25.325714799694328,50,180,5,3.601480141538873,29,174.4394375809616,50,180,5,2.203015282959867,22,8.169455975962796,50,180,5,2.6983043932582365,43,201.8919132851255,50,180,5,1.7876309543951423,26,50.91538229962179,50,180,5,0.984572508073774,40,32.25772034852702,50,180,5,2.170144725009616,33,42.37147286693613,50,180,5,1.1282936846853542,15,115.67609976753077,50,180,5,3.555073775307638,22,737.5383409749887,50,180,5,1.5238868576401192,36,50.58354810768207
3,50,180,6,2.0701209347840224,33,20.31745397277898,50,180,6,2.9001635912949033,38,24.032826714987593,50,180,6,2.618505435779744,48,223.11907830927356,50,180,6,1.7023687433197154,46,707.3596335026474,50,180,6,1.842212022183657,37,106.71559794588605,50,180,6,1.5550007099746035,46,72.4910900758042,50,180,6,2.786052700336011,33,262.4223381644939,50,180,6,3.106940113621214,16,5.533573115331974,50,180,6,1.0149932120722598,4,0.9384323010591852,50,180,6,1.4949816245314793,13,3.7564006665395517,50,180,6,1.5856696513316557,17,4.335092847102855,50,180,6,2.068272679775086,26,41.87792710060808,50,180,6,5.431332255779919,46,273.08321032973754,50,180,6,1.9350705018454308,22,10.327184619582786,50,180,6,2.564004944079593,48,109.8665787919272,50,180,6,1.9710740204368606,36,50.61692075392554,50,180,6,4.403654660170718,41,2516.7177771598595,50,180,6,3.557717551043923,35,36.79000091552792,50,180,6,4.32174631777205,40,1030.6180465998154,50,180,6,1.194680935885037,43,25.325714799694328,50,180,6,2.419573263212713,29,174.4394375809616,50,180,6,1.1724555354776434,22,8.169455975962796,50,180,6,3.963394601265056,43,201.8919132851255,50,180,6,1.5317798450767108,26,50.91538229962179,50,180,6,1.1049297727906358,40,32.25772034852702,50,180,6,1.9102284428954668,33,42.37147286693613,50,180,6,1.2544294289210058,15,115.67609976753077,50,180,6,3.2626146274802394,22,737.5383409749887,50,180,6,1.9710740204368606,36,50.58354810768207
4,50,180,7,1.7154232063450419,33,20.31745397277898,50,180,7,2.0472486360559117,38,24.032826714987593,50,180,7,3.344018598557969,48,223.11907830927356,50,180,7,1.699741060647692,46,707.3596335026474,50,180,7,3.548442721842612,37,106.71559794588605,50,180,7,1.5548861946909063,46,72.4910900758042,50,180,7,5.281167745892592,33,262.4223381644939,50,180,7,3.237028609010725,16,5.533573115331974,50,180,7,0.9926930362859244,4,0.9384323010591852,50,180,7,1.5882068758186485,13,3.7564006665395517,50,180,7,2.176482580544932,17,4.335092847102855,50,180,7,1.6726954455600171,26,41.87792710060808,50,180,7,5.038577444494664,46,273.08321032973754,50,180,7,2.058035746963779,22,10.327184619582786,50,180,7,2.777586741257575,48,109.8665787919272,50,180,7,2.070555022918719,36,50.61692075392554,50,180,7,6.90777369780915,41,2516.7177771598595,50,180,7,3.437929435674266,35,36.79000091552792,50,180,7,5.72697312691825,40,1030.6180465998154,50,180,7,1.3922309949841736,43,25.325714799694328,50,180,7,3.877207592494408,29,174.4394375809616,50,180,7,1.3895958625296605,22,8.169455975962796,50,180,7,3.8837097297252874,43,201.8919132851255,50,180,7,1.7129923717102222,26,50.91538229962179,50,180,7,1.1384516282397086,40,32.25772034852702,50,180,7,2.3122160754641192,33,42.37147286693613,50,180,7,1.0355783939292562,15,115.67609976753077,50,180,7,3.9621299964697663,22,737.5383409749887,50,180,7,2.070555022918719,36,50.58354810768207
5,50,180,8,1.6098617475064094,33,20.31745397277898,50,180,8,2.0327380340019605,38,24.032826714987593,50,180,8,4.669645312338741,48,223.11907830927356,50,180,8,2.9178919794763236,46,707.3596335026474,50,180,8,3.912757358043575,37,106.71559794588605,50,180,8,2.007579993508174,46,72.4910900758042,50,180,8,6.610099233743479,33,262.4223381644939,50,180,8,6.000547265034429,16,5.533573115331974,50,180,8,0.9573551699396555,4,0.9384323010591852,50,180,8,1.6356969475673842,13,3.7564006665395517,50,180,8,3.050938494623388,17,4.335092847102855,50,180,8,2.0101993037154076,26,41.87792710060808,50,180,8,8.439303795880257,46,273.08321032973754,50,180,8,2.702168872667683,22,10.327184619582786,50,180,8,2.527874472954462,48,109.8665787919272,50,180,8,1.9190434011909103,36,50.61692075392554,50,180,8,9.780285808839022,41,2516.7177771598595,50,180,8,3.071246726885103,35,36.79000091552792,50,180,8,5.486116647882729,40,1030.6180465998154,50,180,8,1.6891020175296931,43,25.325714799694328,50,180,8,5.604304689381716,29,174.4394375809616,50,180,8,1.6074015665659536,22,8.169455975962796,50,180,8,3.1145184416936815,43,201.8919132851255,50,180,8,1.4294695135234143,26,50.91538229962179,50,180,8,1.0048307286960092,40,32.25772034852702,50,180,8,3.669064733654852,33,42.37147286693613,50,180,8,0.9469643294536936,15,115.67609976753077,50,180,8,3.3657921228605527,22,737.5383409749887,50,180,8,1.9190434011909103,36,50.58354810768207
6,50,180,9,2.303537926320347,33,20.31745397277898,50,180,9,1.8791426364057597,38,24.032826714987593,50,180,9,6.167119161792392,48,223.11907830927356,50,180,9,4.6785496637637705,46,707.3596335026474,50,180,9,3.4567248936312533,37,106.71559794588605,50,180,9,2.6534142084986123,46,72.4910900758042,50,180,9,8.71307584795963,33,262.4223381644939,50,180,9,5.876750587765157,16,5.533573115331974,50,180,9,0.8953234969355945,4,0.9384323010591852,50,180,9,1.6871487354414467,13,3.7564006665395517,50,180,9,3.5502272301735345,17,4.335092847102855,50,180,9,4.1181571378178345,26,41.87792710060808,50,180,9,9.73425782876799,46,273.08321032973754,50,180,9,2.8728530037779154,22,10.327184619582786,50,180,9,2.2551270812042423,48,109.8665787919272,50,180,9,2.0419439020100745,36,50.61692075392554,50,180,9,8.203242936517393,41,2516.7177771598595,50,180,9,3.3227721903983283,35,36.79000091552792,50,180,9,5.323039219130332,40,1030.6180465998154,50,180,9,1.6886233850440806,43,25.325714799694328,50,180,9,6.355844042619634,29,174.4394375809616,50,180,9,3.47609151309161,22,8.169455975962796,50,180,9,3.365095698737361,43,201.8919132851255,50,180,9,1.1086689344429441,26,50.91538229962179,50,180,9,0.9149830628803362,40,32.25772034852702,50,180,9,3.302038330640321,33,42.37147286693613,50,180,9,0.8864706829376372,15,115.67609976753077,50,180,9,2.5070707327662185,22,737.5383409749887,50,180,9,2.0419439020100745,36,50.58354810768207
7,50,185,3,2.474111955357486,33,20.31745397277898,50,185,3,2.2804614233863854,39,24.032826714987593,50,185,3,2.423308590929234,48,223.11907830927356,50,185,3,2.269774093518965,46,707.3596335026474,50,185,3,1.6047195921116137,37,106.71559794588605,50,185,3,1.6422972597233425,47,72.4910900758042,50,185,3,1.5295131122050838,33,262.4223381644939,50,185,3,1.7369726813247364,16,5.533573115331974,50,185,3,1.0675973832002268,4,0.9384323010591852,50,185,3,1.4313957556024786,13,3.7564006665395517,50,185,3,1.7825710859268937,17,4.335092847102855,50,185,3,1.8336805701290797,28,41.87792710060808,50,185,3,3.211069073995785,46,273.08321032973754,50,185,3,1.5870103853596786,22,10.327184619582786,50,185,3,1.615871379931758,48,109.8665787919272,50,185,3,1.6312587682952258,38,50.61692075392554,50,185,3,2.7845195039585384,42,2516.7177771598595,50,185,3,1.5364682420526334,35,36.79000091552792,50,185,3,2.6561717121255137,40,1030.6180465998154,50,185,3,1.7481274285063704,43,25.325714799694328,50,185,3,2.635958835347155,29,174.4394375809616,50,185,3,2.08142406327043,22,8.169455975962796,50,185,3,1.5728943127747403,44,201.8919132851255,50,185,3,1.6170540656998598,27,50.91538229962179,50,185,3,1.2909954905459415,41,32.25772034852702,50,185,3,1.8603521354838946,34,42.37147286693613,50,185,3,1.4167412516891065,15,115.67609976753077,50,185,3,2.2798362807517494,23,737.5383409749887,50,185,3,1.6312587682952258,38,50.58354810768207
8,50,185,4,2.5640828804048166,33,20.31745397277898,50,185,4,2.8967158583139345,39,24.032826714987593,50,185,4,2.513489200011028,48,223.11907830927356,50,185,4,1.8381407662375957,46,707.3596335026474,50,185,4,1.7437356314787003,37,106.71559794588605,50,185,4,1.8863366843469804,47,72.4910900758042,50,185,4,1.4484560770152202,33,262.4223381644939,50,185,4,1.7344453143426022,16,5.533573115331974,50,185,4,1.0533265053737937,4,0.9384323010591852,50,185,4,1.3986453111669948,13,3.7564006665395517,50,185,4,1.9602968904029077,17,4.335092847102855,50,185,4,2.2875432083360043,28,41.87792710060808,50,185,4,3.0165809217989334,46,273.08321032973754,50,185,4,1.56468952586574,22,10.327184619582786,50,185,4,1.2712804418214299,48,109.8665787919272,50,185,4,1.4557246850377519,38,50.61692075392554,50,185,4,3.9299496368189524,42,2516.7177771598595,50,185,4,1.9559068361266119,35,36.79000091552792,50,185,4,3.227177360336309,40,1030.6180465998154,50,185,4,1.4601666711363273,43,25.325714799694328,50,185,4,2.9488492697291244,29,174.4394375809616,50,185,4,2.2138373627660384,22,8.169455975962796,50,185,4,2.1922315226502582,44,201.8919132851255,50,185,4,1.8115153174317005,27,50.91538229962179,50,185,4,1.096715733074793,41,32.25772034852702,50,185,4,2.1845132840585295,34,42.37147286693613,50,185,4,1.2825739219579675,15,115.67609976753077,50,185,4,2.8291394803726417,23,737.5383409749887,50,185,4,1.4557246850377519,38,50.58354810768207
