,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,IBM,IBM,IBM,IBM,IBM,IBM,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,F,F,F,F,F,F,GM,GM,GM,GM,GM,GM,META,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX
,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return,time thresh1,time thresh2,trail stop,strategy return,Trades,Hold return
0,50,100,1,1.2599413136434408,14,1383.426367259575,50,100,1,0.9324065364700066,11,1127.400283319557,50,100,1,1.0160986799197445,20,20.232421420404844,50,100,1,1.0,0,157.9049531899038,50,100,1,1.0958558347336864,6,54.49889659767462,50,100,1,1.0035480622102726,8,5.554472084124697,50,100,1,0.9870959070383298,2,0.9526177538182468,50,100,1,0.9978025717696972,7,7.812451399528889,50,100,1,1.0465001480622065,4,370.3855468120318
1,50,100,3,1.8275949529665971,24,1383.426367259575,50,100,3,1.0006847582019538,15,1127.400283319557,50,100,3,1.1787098891154417,25,20.232421420404844,50,100,3,0.9705614468591429,3,157.9049531899038,50,100,3,1.0129972354999086,9,54.49889659767462,50,100,3,1.092226676200132,10,5.554472084124697,50,100,3,0.9741899485127387,4,0.9526177538182468,50,100,3,1.0541565894979843,8,7.812451399528889,50,100,3,1.3316115425252337,11,370.3855468120318
2,50,100,5,1.6552994090600333,24,1383.426367259575,50,100,5,1.3115981363558882,16,1127.400283319557,50,100,5,1.2334223768166392,26,20.232421420404844,50,100,5,1.0715809484187815,3,157.9049531899038,50,100,5,1.1843470047316524,10,54.49889659767462,50,100,5,1.0627330685346896,10,5.554472084124697,50,100,5,1.0165275092561343,4,0.9526177538182468,50,100,5,1.0106149819352683,9,7.812451399528889,50,100,5,2.3064658598057033,11,370.3855468120318
3,50,100,7,4.687840312732377,24,1383.426367259575,50,100,7,1.0434102291476077,16,1127.400283319557,50,100,7,0.888748586430664,26,20.232421420404844,50,100,7,1.0876738234082872,4,157.9049531899038,50,100,7,1.678615865799392,9,54.49889659767462,50,100,7,1.1145496242566884,11,5.554472084124697,50,100,7,1.0230767785027117,4,0.9526177538182468,50,100,7,0.8527472444383848,9,7.812451399528889,50,100,7,3.0234047766401666,11,370.3855468120318
4,50,100,9,5.979963925992193,22,1383.426367259575,50,100,9,5.025633974296054,16,1127.400283319557,50,100,9,1.2261565898986975,24,20.232421420404844,50,100,9,1.3661686775583948,4,157.9049531899038,50,100,9,2.0200322147429994,8,54.49889659767462,50,100,9,1.5476592855327784,10,5.554472084124697,50,100,9,0.9381397556665008,4,0.9526177538182468,50,100,9,0.6826935678145436,9,7.812451399528889,50,100,9,2.9595268018703127,11,370.3855468120318
5,50,105,1,1.2599413136434408,14,1383.426367259575,50,105,1,0.9324065364700066,11,1127.400283319557,50,105,1,1.0160986799197445,20,20.232421420404844,50,105,1,1.0,0,157.9049531899038,50,105,1,1.0958558347336864,6,54.49889659767462,50,105,1,1.0035480622102726,8,5.554472084124697,50,105,1,0.9870959070383298,2,0.9526177538182468,50,105,1,0.9978025717696972,7,7.812451399528889,50,105,1,1.0465001480622065,4,370.3855468120318
6,50,105,3,1.8275949529665971,24,1383.426367259575,50,105,3,1.0006847582019538,15,1127.400283319557,50,105,3,1.1787098891154417,25,20.232421420404844,50,105,3,0.9705614468591429,3,157.9049531899038,50,105,3,1.0129972354999086,9,54.49889659767462,50,105,3,1.092226676200132,10,5.554472084124697,50,105,3,0.9741899485127387,4,0.9526177538182468,50,105,3,1.0541565894979843,8,7.812451399528889,50,105,3,1.3316115425252337,11,370.3855468120318
7,50,105,5,1.6552994090600333,24,1383.426367259575,50,105,5,1.3115981363558882,16,1127.400283319557,50,105,5,1.2334223768166392,26,20.232421420404844,50,105,5,1.0715809484187815,3,157.9049531899038,50,105,5,1.1843470047316524,10,54.49889659767462,50,105,5,1.0443396427897815,11,5.554472084124697,50,105,5,1.0165275092561343,4,0.9526177538182468,50,105,5,1.118829030869017,10,7.812451399528889,50,105,5,2.3064658598057033,11,370.3855468120318
8,50,105,7,4.687840312732377,24,1383.426367259575,50,105,7,1.0434102291476077,16,1127.400283319557,50,105,7,0.888748586430664,26,20.232421420404844,50,105,7,1.0876738234082872,4,157.9049531899038,50,105,7,1.678615865799392,9,54.49889659767462,50,105,7,1.0716823905292392,12,5.554472084124697,50,105,7,1.0230767785027117,4,0.9526177538182468,50,105,7,1.0615021661969712,10,7.812451399528889,50,105,7,3.0234047766401666,11,370.3855468120318
