Nasdaq Traded|Symbol|Security Name|Listing Exchange|Market Category|ETF|Round Lot Size|Test Issue|Financial Status|CQS Symbol|NASDAQ Symbol|NextShares
Y|A|Agilent Technologies, Inc. Common Stock|N| |N|100|N||A|A|N
Y|AA|Alcoa Corporation Common Stock |N| |N|100|N||AA|AA|N
Y|AAA|Listed Funds Trust AAF First Priority CLO Bond ETF|P| |Y|100|N||AAA|AAA|N
Y|AAAU|Goldman Sachs Physical Gold ETF Shares|P| |Y|100|N||AAAU|AAAU|N
Y|AAC|Ares Acquisition Corporation Class A Ordinary Shares|N| |N|100|N||AAC|AAC|N
Y|AAC.U|Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of one redeemable warrant|N| |N|100|N||AAC.U|AAC=|N
Y|AAC.W|Ares Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50|N| |N|100|N||AAC.WS|AAC+|N
Y|AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares|Q|G|N|100|N|N||AACG|N
Y|AADR|AdvisorShares Dorsey Wright ADR ETF|Q|G|Y|100|N|N||AADR|N
Y|AAIC|Arlington Asset Investment Corp Class A (new)|N| |N|100|N||AAIC|AAIC|N
Y|AAIC$B|Arlington Asset Investment Corp 7.00% |N| |N|100|N||AAICpB|AAIC-B|N
Y|AAIC$C|Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   |N| |N|100|N||AAICpC|AAIC-C|N
Y|AAIN|Arlington Asset Investment Corp 6.000% Senior Notes Due 2026|N| |N|100|N||AAIN|AAIN|N
Y|AAL|American Airlines Group, Inc. - Common Stock|Q|Q|N|100|N|N||AAL|N
Y|AAMC|Altisource Asset Management Corp Com|A| |N|100|N||AAMC|AAMC|N
Y|AAME|Atlantic American Corporation - Common Stock|Q|G|N|100|N|N||AAME|N
Y|AAN|Aarons Holdings Company, Inc. Common Stock |N| |N|100|N||AAN|AAN|N
Y|AAOI|Applied Optoelectronics, Inc. - Common Stock|Q|G|N|100|N|N||AAOI|N
Y|AAON|AAON, Inc. - Common Stock|Q|Q|N|100|N|N||AAON|N
Y|AAP|Advance Auto Parts Inc Advance Auto Parts Inc W/I|N| |N|100|N||AAP|AAP|N
