,Years up,Div yield,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change,Score
ACIC,35.0,,0.007188366976813777,-13.482364022200944,,,10.96774193548387,0.7575878571718164,-0.018854560065558985,-0.008214031683636153,68.35474676207373,21.612304746331084
ACIW,35.0,,0.028794011625629112,4.751989636651612,22.889680234652936,5.516473658669804,18.70967741935484,4.966037060394766,0.048258794414000356,0.18030143126489664,29.461254541963626,20.602113015083408
ACLS,58.333333333333336,,0.1480839294453703,35.0659911024174,19.040911930542784,50.706016421843174,15.483870967741934,6.891589404146984,0.4324730422485416,0.09269777587528968,66.30761400024625,42.79704778099001
ACLX,35.0,,0.03262754916388661,,,,1.2903225806451613,4.380328517766499,-0.0058920500204871825,-0.12703614990788475,67.40983351608448,25.7095676104123
ACM,0.0,7.034036428967694,0.09116267612486348,2.749337769769955,2.2960289751246377,15.045462741451633,10.96774193548387,18.009031544740395,0.05011490189146191,0.5033999623177979,62.84104938675243,18.982121638511863
ACMR,35.0,,0.042698637557756255,40.2508706662029,20.077140937457987,57.48642525044299,4.516129032258064,1.8771082022564045,0.06681986918861588,0.08829625062089991,67.94815229737073,38.53451544802649
ACN,35.0,10.816856371062613,1.103841989126954,14.61744569813423,14.02165102529139,21.967447545764358,14.838709677419354,70.0,0.6663425844086971,0.158405518987407,61.341158661869436,38.81458080508959
ACON,0.0,,0.007171174194171241,13.146278217143541,-5.888715421891315,-24.07306047877624,1.2903225806451613,0.004120919941316586,-0.02063329214721549,-0.0013823305145082984,-32.15399761018478,-8.083033261286419
ACRE,0.0,36.25688073394495,0.006511228255756851,20.24658278872942,,,7.741935483870967,0.8205146679212276,0.003712214954923104,0.7777092646832126,-7.189673980214952,11.502778902381468
ACRS,14.0,,0.006085708164018869,47.042799397733276,16.334362734948193,68.3249796827034,5.806451612903226,0.13405959344106505,-0.0036908690694372535,-0.004549970228589863,64.88394604024786,36.69905829336322
ACVA,0.0,,0.01991273641335161,37.078059580500515,19.585482458857495,49.94212163396195,1.9354838709677418,3.273515156589064,-0.0010672392489939047,-0.16859264686292794,53.144628633036184,27.933821048171932
ADAP,0.0,,0.0008652781556781877,47.45479353350852,,,5.806451612903226,0.24391434716488286,-0.0012006441551181428,-0.007937036543670352,61.69217253233992,24.50831055816456
ADBE,35.0,,2.1777761490052496,16.366993120823203,33.162070498256064,23.89703638735299,24.516129032258064,70.0,0.7319250486123386,0.23708773942970146,62.588236500888556,45.538517707902734
ADC,0.0,29.582978723404256,0.09224583764290972,31.27540566020567,33.17399083631706,44.182231045245885,19.35483870967742,8.953826838528665,0.10517942372282127,0.16077403676130542,8.539210450131783,27.844552628831394
ADCT,14.0,,0.002267944345007216,,,,2.5806451612903225,0.2543638257343793,-0.0048470449225139845,-0.005774427048516186,-31.818794708683562,-3.5695569641154474
ADEA,0.0,13.39511441344542,0.00800481927619968,-4.683627987380676,42.121289586478,-4.432719331527589,13.548387096774194,1.9606713471280002,0.07176948912851333,0.04855865577308462,-10.211222294919574,8.226385046694535
ADI,35.0,14.389080359108586,0.8822615279971914,31.74895263163083,26.994740724038742,43.47254142702347,28.387096774193548,70.0,0.40463143008661834,0.14022399067719066,58.10764625115605,49.131297637446394
ADM,0.0,25.684210526315788,0.5593487834181956,27.279685484547187,2.710437381783013,42.80306541520103,28.387096774193548,42.164118427318016,0.4448470920982853,0.03385180546178481,53.368444903755744,35.465889935570246
ADMA,46.66666666666667,,0.023860259459385767,44.11553780953571,-2.338408932562346,69.51851574330738,7.096774193548387,1.7139985450660375,-0.0002445756612277698,-0.27519769427322377,64.03747504043093,39.077792721274186
ADN,0.0,,0.0002447766335166161,48.61489168008038,7.667717970375905,62.80947084367295,3.225806451612903,0.017822977844989703,-0.003890976428623611,-0.000560391253877333,-30.678508989973402,15.534405820773683
ADNT,0.0,,0.03650130675178041,6.867854133148845,2.1743648598903187,33.25848904566372,5.161290322580645,4.6789566503110755,0.13302103588474454,0.07343488407942897,60.67915477903411,19.163231697855025
ADP,14.0,20.74412105488197,0.5215563543907433,7.182111371884261,18.158433538166136,13.247862389759845,28.387096774193548,70.0,0.5209474986742089,0.13096172245825471,52.44291327972509,35.767619680021284
ADPT,0.0,,0.008757727097520712,34.747873962608324,29.300482410036732,42.30057051375829,3.225806451612903,0.8980690135488074,-0.0030238445388160637,-0.018203598210297843,-25.104926155701556,14.467018047493543
ADSK,35.0,,0.43482849055835465,16.808514738073484,33.73179311380271,23.767689354499105,25.161290322580644,70.0,0.262329856814566,0.27558018795210154,58.35122316761176,44.71072020879538
ADT,0.0,20.036540663339043,0.019280614525189445,10.870861826540184,28.9685185410719,10.701334272557382,3.8709677419354835,8.556716997250653,0.004330917447410288,0.4082891056838952,22.16441684436004,16.762104369001772
ADTN,0.0,30.602687140115165,0.006566307675005616,37.63764743380723,16.75883909734239,37.42606173493106,19.35483870967742,0.8168068000572712,-0.0024457566122776985,-0.03765576371144508,17.937403087421075,25.476309331857593
ADV,35.0,,0.003401956167722791,14.571882948651552,6.87713090173379,-4.1446597584464975,2.5806451612903225,1.9217652660178925,-0.010494519281773395,-0.004978404336743334,-23.51534724379499,5.640567170847674
ADVM,35.0,,0.0008843729161765781,,,,6.451612903225806,0.13793467680199725,-0.002801503028609,-0.004324535195722089,62.083924505912435,24.682673909674303
AEE,0.0,26.73170731707317,0.17709445967191292,19.29689116867638,20.397703198140604,11.976165172861892,16.774193548387096,26.998464373542042,0.2728477991868481,0.07168706853791308,14.866308499776645,21.835406762834054
AEG,52.5,29.356521739130436,0.014137792716334387,-18.591415101456874,,,25.161290322580644,16.134690689265796,-0.0016675613265529762,-0.048594644998001875,27.43345129936185,25.874198928485026
