,Years up,Div yield,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change,Score,Sector
ACAD,0.0,,0.16395364678685498,17.11996453353567,69.95195239607195,20.659197783518838,32.25806451612903,9.578633197393618,-0.0028904396326918254,-0.2985125970339771,92.53985732140623,39.134494117568266,Healthcare
ACB,0.0,,0.00877090467859837,-13.421136237867875,-1.5580975541822395,-41.15981389543461,16.129032258064516,0.39386345879785833,-0.018708449930280056,-0.0006547369597091382,-45.56109062754,-16.927219769341928,Healthcare
ACCD,0.0,,0.04970498059246918,72.65888898784968,40.13065400868381,73.3576542134339,6.451612903225806,1.9499602445912916,-0.005145617807649184,-0.0724015610121911,-37.593689656371396,23.52004329435087,Healthcare
ACCO,53.124999999999986,75.49014008493027,0.013417527460981307,19.56948762132932,25.72450356306665,15.12337959732738,30.64516129032258,1.2302527432794803,0.051263920806080956,0.08026663406388374,3.1941794519492612,29.37434842635685,Industrials
ACDC,0.0,,0.019105104899291413,91.88601633913798,8.285187943776345,97.72778008897019,3.225806451612903,2.5787174291958217,0.06187024924871839,0.08302318923561408,-46.09593160557759,24.669358493970194,Energy
ACET,21.249999999999996,,0.019878457355565288,79.65525028432148,,,9.67741935483871,0.25579173196031046,-0.010640629417052324,-0.007157498772290141,-41.839756184842535,9.918366875697773,Healthcare
ACGL,79.68749999999999,,0.47656891218579595,16.434207273270314,,,46.7741935483871,64.16205159969726,0.684992045253668,0.07969288452836193,87.78516319220736,64.50447476469073,Financial Services
ACHC,21.249999999999996,,0.15459872230811184,25.522730166613776,69.79733408847196,25.989516164978433,48.38709677419355,16.35208014606464,-0.0006352614577344672,-4.128147062741442,88.19915383877002,46.776995120534224,Healthcare
ACHR,0.0,,0.07659059774571791,,,,6.451612903225806,3.2333883810654407,-0.005526774682289864,-0.028766254943661782,92.57467126776946,26.918917787147972,Industrials
ACI,0.0,48.52153291427626,0.29287870896964757,15.66221570277472,24.849016777049375,15.487897653946172,6.451612903225806,26.982393009441292,0.20770726533498318,0.07159982813417343,80.84960189843319,33.21828825348192,Consumer Defensive
ACIC,53.124999999999986,,0.017970917442034443,-26.967113442710684,,,27.419354838709676,1.0822683673883091,-0.026935085807941406,-0.013690052806060256,97.89041612679642,35.15973917836248,Financial Services
ACIW,53.124999999999986,,0.07198502906407278,9.504820030015033,46.01345191948258,7.881922435406727,46.7741935483871,7.094338657706809,0.06894113487714336,0.30050238544149444,42.19128302484545,33.516319922170645,Technology
ACLS,88.54166666666666,,0.37020982361342575,70.13818633607872,38.27655417801502,72.44861720989319,38.70967741935484,9.845127720209977,0.617818631783631,0.1544962931254828,94.95872977852254,69.62390431029665,Technology
ACLX,53.124999999999986,,0.08156887290971652,,,,3.225806451612903,6.257612168237856,-0.00841721431498169,-0.21172691651314127,96.53721162769159,41.825325997405535,Healthcare
ACM,0.0,17.612599873630614,0.22790669031215868,5.499161972457426,4.615539307215589,21.496915905063656,27.419354838709676,25.72718792105771,0.07159271698780272,0.8389999371963299,89.99428372876233,30.880854850768614,Industrials
ACMR,53.124999999999986,,0.10674659389439065,80.50886281040897,40.35960964661356,82.13644674994349,11.29032258064516,2.6815831460805777,0.09545695598373696,0.14716041770149985,97.30813467261784,62.68945068189424,Technology
ACN,53.124999999999986,27.08444363032924,2.759604972817385,29.23747762151723,28.186700673400278,31.387028810961716,37.096774193548384,100.0,0.95191797772671,0.264009198312345,87.846299365444,63.145071913540306,Technology
ACON,0.0,,0.017927935485428103,26.294882369840707,-11.837654399492315,-34.395522795321796,3.225806451612903,0.005887028487595123,-0.02947613163887927,-0.0023038841908471636,-46.04754395707041,-13.14979335024899,Healthcare
ACRE,0.0,90.7839957159045,0.016278070639392125,40.496747750753045,,,19.35483870967742,1.1721638113160395,0.00530316422131872,1.2961821078053544,-10.296288276643024,18.71316876108552,Real Estate
ACRS,21.249999999999996,,0.015214270410047174,94.09392195110452,32.83577606305179,97.62254359964909,14.516129032258066,0.19151370491580721,-0.005272670099196076,-0.007583283714316437,92.91990357211847,59.70345749012347,Healthcare
ACVA,0.0,,0.04978184103337903,74.16267928209487,39.371264526281095,71.35716643183525,4.838709677419355,4.676450223698663,-0.001524627498562721,-0.28098774477154653,76.10809867967309,45.44382812645222,Consumer Cyclical
ADAP,0.0,,0.0021631953891954694,94.91798311566643,,,14.516129032258066,0.3484490673784041,-0.001715205935883061,-0.013228394239450585,88.34898418945826,39.87107423485951,Healthcare
ADBE,53.124999999999986,,5.4444403725131245,32.736882009602695,66.66328759420232,34.14402005621589,61.29032258064516,100.0,1.0456072123033409,0.39514623238283575,89.63223193614034,74.0838343699049,Technology
